URL,Size,Outgoing Links,Content Type
https://www.latimes.com/california/story/2024-02-07/rain-snow-still-coming-but-worst-of-atmospheric-river-over,343130,234,text/html
https://www.latimes.com/california/story/2024-02-08/monster-storm-triggered-hundreds-of-mudslides-across-los-angeles,343232,221,text/html
https://www.latimes.com/california/story/2024-02-05/california-storm-weather-los-angeles-2024,617606,311,text/html
https://www.latimes.com/california/story/2024-02-07/californias-storm-claimed-nine-lives-heres-what-we-know,335213,214,text/html
https://www.latimes.com/environment/story/2024-02-06/early-preparations-helped-l-a-area-flood-control-systems,355606,207,text/html
https://www.latimes.com/california/story/2024-02-05/storm-dumps-astronomical-rain-on-socal-with-more-to-come,352808,228,text/html
https://www.latimes.com/california/story/2024-02-08/forecasts-for-southern-california-are-finally-rain-free-after-days-of-drenching-weather-and-a-possible-tornado,337738,237,text/html
https://www.latimes.com/environment/story/2024-02-06/what-led-to-monster-socal-storm,364357,228,text/html
https://www.latimes.com/california/story/2024-02-05/storm-pummels-l-a-hillsides-and-canyons-mud-boulders-and-a-baby-grand-piano,375941,226,text/html
https://www.latimes.com/world-nation/story/2024-02-06/how-climate-change-contributes-to-wildfires-like-chiles,313692,207,text/html
https://www.latimes.com/california/story/2024-02-09/climate-change-pushes-l-a-city-from-extreme-heat-to-extreme-rainfall,367922,212,text/html
https://www.latimes.com/environment/story/2024-02-05/how-a-bomb-cyclone-helped-fuel-californias-deadly-storm,339042,209,text/html
https://www.latimes.com/california/story/2024-02-05/southern-california-atmospheric-river-causes-mudslides-evacuations,361292,230,text/html
https://www.latimes.com/business/story/2022-02-02/trusts-and-wills-arent-the-same-thing-heres-how-they-work,319272,211,text/html
https://www.latimes.com/people/liz-weston,281767,194,text/html
https://www.latimes.com/business/story/2024-01-28/529-college-savings-plans-have-a-new-use-for-leftover-funds-your-kids-retirement,311057,209,text/html
https://www.latimes.com/business/story/2023-12-20/what-is-a-qualified-higher-education-expense-for-529-college-savings-plans,325279,212,text/html
https://www.latimes.com/business/story/2023-12-17/their-529-college-savings-plans-have-a-problem-the-students-graduated-now-what,316719,210,text/html
https://www.latimes.com/delos/story/2024-01-12/retirement-first-generation-immigrant-latino-parents,369589,216,text/html
https://www.latimes.com/business/story/2024-01-10/3-time-sensitive-money-tasks-for-new-widows-and-widowers,321494,211,text/html
https://www.latimes.com/local/lanow/la-me-ln-settlement-20190208-story.html,300759,204,text/html
https://www.latimes.com/california/story/2024-02-07/la-me-storm-forecast,359252,231,text/html
https://www.latimes.com/california/story/2023-01-10/how-to-drive-safely-during-rain-and-flooding,328847,216,text/html
https://www.latimes.com/california/story/2023-01-17/california-storms-potholes-wreak-havoc,316032,213,text/html
https://www.latimes.com/topic/transportation,382437,219,text/html
https://www.latimes.com/california/story/2024-02-10/your-house-has-water-damage-from-the-storm-now-what,332830,209,text/html
https://www.latimes.com/opinion/story/2024-02-10/biking-los-angeles-safety-measure-hla,336985,218,text/html
https://www.latimes.com/people/jon-healey,282434,196,text/html
https://www.latimes.com/sports/dodgers/story/2024-01-08/shohei-ohtani-contract-state-controller-deferrals,317268,215,text/html
https://www.latimes.com/california/story/2023-05-31/california-boxers-pensions,366412,219,text/html
https://www.latimes.com/california/story/2023-05-11/alex-ramos-boxing-california-pension-plan-struggles,349565,215,text/html
https://www.latimes.com/california/story/2023-05-11/california-retired-boxers-pension-plan-failing-to-deliver,540646,233,text/html
https://www.latimes.com/people/melody-gutierrez,288063,196,text/html
https://www.latimes.com/sports/story/2023-10-11/mma-retirement-pension-gavin-newsom-california-law-matt-haney,328136,212,text/html
https://www.latimes.com/sports/story/2024-01-17/floyd-mayweather-jr-assault-lawsuit-los-angeles-yard-house,322057,212,text/html
https://www.latimes.com/california/story/2024-01-02/california-retired-boxers-pension-primary-mission-failed,314934,200,text/html
https://www.latimes.com/california/story/2023-05-11/how-to-claim-california-boxing-pension,335530,212,text/html
https://www.latimes.com/vegasguide/story/2022-10-19/resorts-world-theatre,262592,183,text/html
